"","x"
"1","Culturally responsive"
"2","Culturally responsive sustaining"
"3","Intercultural competence"
"4","sociocultural competence"
"5","Multicuturalism"
"6","Culturally responsive"
"7","Culturally responsive"
"8","Culturally responsive"
"9","Linguistically responsive"
"10","Culturally responsive"
"11","Multicultural education"
"12","Cultural competence"
"13","Culturally responsive"
"14","Not Applicable"
"15","Culturally responsive"
"16","Culturally responsive"
"17","Culturally responsive"
"18","Culturally relevant"
"19","Culturally responsive"
"20","Culturally responsive"
"21","Not Applicable"
"22","Culturally responsive"
"23","Cultural competence"
"24","Culturally responsive"
"25","Culturally responsive"
"26","Culturally relevant"
"27","Cultural competence"
"28","Culturally responsive"
"29","Culturally responsive"
"30","Culturally relevant"
"31","Culturally relevant and sustainable"
"32","Culturally responsive"
"33","Culturally responsive"
"34","Cultural competence"
"35","Cultural competence"
"36","Cultural competence"
"37","Culturally responsive"
"38","Cultural competence"
"39","Culturally responsive"
"40","Culturally responsive"
"41","Culturally responsive"
"42","Culturally relevant"
"43","Cultural competence"
"44","Culturally responsive"
"45","Culturally diverse"
"46","Culturally relevant"
"47","Culturally responsive"
"48","Culturally responsive"
"49","Cultural competence"
"50","Culturally relevant"
"51","Culturally responsive"
"52","Multicultural education"
"53","Multicultural education"
"54","Cultural competence"
"55","Culturally responsive"
"56","Culturally relevant"
"57","Cultural competence"
"58","Culturally relevant"
"59","Cultural competence"
"60","Culturally relevant"
"61","Cultural competence"
"62","Culturally responsive"
"63","Cultural competence"
"64","Culturally relevant"
"65","Culturally relevant"
"66","Culturally relevant"
"67","Culturally responsive"
"68","Culturally responsive"
"69","Not Applicable"
"70","Culturally proactive"
"71","Culturally proactive"
"72","Culturally responsive"
"73","Culturally responsive"
"74","Culturally responsive"
"75","Culturally responsive"
"76","Culturally relevant and sustainable"
"77","Culturally responsive"
"78","Cultural competence"
"79","Multicultural education"
"80","Racism"
"81","Culturally responsive"
"82","Culturally responsive"
"83","Culturally responsive"
"84","Culturally relevant"
"85","Culturally responsive"
"86","Culturally responsive"
"87","Multicultural education"
"88","Not Applicable"
"89","Multicultural education"
"90","Culturally relevant and sustainable"
"91","Culturally responsive"
"92","Cultural competence"
"93","Culturally responsive"
"94","Cultural competence"
"95","Intercultural capacity"
"96","Multicultural education"
"97","Multicultural education"
"98","Culturally sustainable"
"99","Multicultural awareness"
"100","Culturally responsive"
"101","Culturally responsive"
"102","Not Applicable"
"103","Both Relevent and responsive"
"104","Culturally responsive"
"105","Culturally responsive"
"106","Culturally relevant"
"107","Culturally relevant"
"108","Culturally responsive"
"109","Culturally diverse"
"110","Culturally responsive"
"111","Intercultural competence"
"112","Intercultural competence"
"113","Culturally relevant"
"114","Culturally responsive"
"115","Interculturality"
"116","Not Applicable"
"117","Culturally diverse"
"118","Culturally responsive"
"119","Multicultural education"
"120","Culturally responsive"
"121","Mixed approaches"
"122","Culturally responsive"
"123","Culturally responsive"
"124","Multiculturalism & culturally responsive"
"125","Intercultural competence"
"126","Intercultural sensitivity & multicultural attitude"
"127","Intercultural communicative competence"
"128","Linguistically responsive"
"129","Social justice pedagogy"
"130","Multiculturalism"
"131","Critical race"
"132","Culturally responsive"
"133","Inclusive education"
"134","Multicultural and intercultural sensitivity"
"135","Critical race"
"136","Culturally responsive"
"137","Intercultural education"
"138","Multicultural education"
"139","Global competence"
"140","Culturally responsive"
"141","Multicultural education"
"142","Special education"
"143","Intercultural sensitivity"
"144","Culturally responsive"
"145","Critical race"
"146","Intercultural competence"
"147","Critical race"
"148","Culturally responsive"
"149","Inclusion"
"150","Critical race"
"151","Not Applicable"
"152","Linguistically diverse"
"153","Culturally relevant"
"154","Culturally diverse"
"155","Culturally relevant and responsive"
"156","Cultural competence"
"157","Culturally responsive"
"158","Culturally responsive"
"159","Culturally inclusive science teaching"
"160","Multiculturalism"
"161","Global awareness"
"162","Multicultural education"
"163","Multicultural education"
"164","Culturally responsive"
"165","Social justice pedagogy"
"166","Cultural interface"
"167","Culturally responsive"
"168","Multicultural education"
"169","Culturally responsive"
"170","Intercultural communicative competence"
"171","Not Applicable"
"172","Culturally responsive"
"173","Multicultural teaching competency"
"174","Culturally responsive"
"175","Culturally and linguistically diverse"
"176","Multicultural education"
"177","Linguistically responsive"
"178","Culturally diverse"
"179","Culturally responsive"
"180","Not Applicable"
"181","Culturally responsive"
"182","Culturally responsive"
"183","Culturally diverse"
"184","Multicultural education"
"185","Culturally sustainable"
"186","Culturally relevant"
"187","Culturally responsive"
"188","Culturally responsive"
"189","Not Applicable"
"190","Culturally diverse"
"191","Intercultural education"
"192","Culturally responsive"
"193","Culturally responsive"
"194","Culturally responsive"
"195","Culturally sustainable"
"196","Culturally responsive"
"197","Intercultural education"
"198","Culturally responsive"
"199","Linguistically responsive"
"200","Culturally responsive"
"201","Culturally responsive"
"202","Multicultural education"
"203","Multicultural education"
"204","Culturally diverse"
"205","Culturally relevant"
"206","Culturally responsive"
"207","Culturally responsive"
"208","Culturally sustainable"
"209","Culturally responsive"
"210","Culturally diverse"
"211","Culturally diverse"
"212","Culturally responsive"
"213","Multicultural education"
"214","Linguistically responsive"
"215","Inclusive education"
"216","Culturally responsive"
"217","Culturally responsive"
"218","Culturally responsive"
"219","Multicultural education"
"220","Multicultural education"
"221","Culturally diverse"
"222","Culturally responsive"
"223","Social justice teaching"
"224","Culturally responsive"
"225","Culturally responsive"
"226","Culturally responsive"
"227","Culturally responsive"
"228","Culturally diverse"
"229","Culturally diverse"
"230","Cultural competence"
"231","Culturally responsive"
"232","Culturally responsive"
"233","Culturally relevant"
"234","Multicultural education"
"235","Culturally responsive"
"236","Culturally relevant"
"237","Culturally diverse"
"238","Culturally responsive"
"239","Cultural competence"
